VmName,VmResourceGroup,Location,AvailabilitySet,VhdUri,StorageType,DiskType,ProvisionedSizeInGb,UsedSizeInGb,UsedDiskPercentage
OMScentos,77488-OMS,eastus2,CENTOS-AVSET,https://77488oms5025.blob.core.windows.net/vhds/OMScentos2016619201023.vhd,Standard,OS,30,2,0.06
OMScentos2,77488-OMS,eastus2,CENTOS-AVSET,https://77488oms5025.blob.core.windows.net/vhds/OMScentos22016615161542.vhd,Standard,OS,30,2,0.08
OMScentosDemo,77488-OMS,eastus2,CENTOS-AVSET,https://4zrgvjrvxqy7wstandardsa.blob.core.windows.net/vhds/OMScentosDemo20166208242.vhd,Standard,OS,30,2,0.05
OMScentosDocker,77488-OMS,eastus2,CENTOS-AVSET,https://4zrgvjrvxqy7wstandardsa.blob.core.windows.net/vhds/OMScentosDocker201662085852.vhd,Standard,OS,30,8,0.28
OMSopensuse,77488-OMS,eastus2,,https://77488oms5025.blob.core.windows.net/vhds/OMSopensuse2016619201619.vhd,Standard,OS,30,2,0.07
OMSopensuse2,77488-OMS,eastus2,,https://77488oms5025.blob.core.windows.net/vhds/OMSopensuse22016617124627.vhd,Standard,OS,30,7,0.23
OMSubuntu,77488-OMS,eastus2,UBUNTU-AVSET,https://77488oms5025.blob.core.windows.net/vhds/OMSubuntu201661371038.vhd,Standard,OS,29,3,0.09
OMSubuntu2,77488-OMS,eastus2,UBUNTU-AVSET,https://77488oms5025.blob.core.windows.net/vhds/OMSubuntu3201661923286.vhd,Standard,OS,29,29,0.99
Centos-ARMTemplate1,CUSTOMIMAGES-RG1,eastus2,,http://storcustomimages.blob.core.windows.net/vhds/Centos-ARMTemplate1osDisk.vhd,Standard,OS,30,11,0.36
Centos-ARMTemplate1,CUSTOMIMAGES-RG1,eastus2,,https://storcustomimages.blob.core.windows.net/vhds/Centos-ARMTemplate1data.vhd,Standard,Data,30,3,0.11
Centos-ARMTemplate2,CUSTOMIMAGES-RG1,eastus2,,http://storcustomimages.blob.core.windows.net/vhds/Centos-ARMTemplate2osDisk.vhd,Standard,OS,30,3,0.11
Centos-ARMTemplate2,CUSTOMIMAGES-RG1,eastus2,,https://storcustomimages.blob.core.windows.net/vhds/Centos-ARMTemplate2data.vhd,Standard,Data,30,5,0.16
Centos-ARMTemplate2,CUSTOMIMAGES-RG1,eastus2,,https://storcustomimages.blob.core.windows.net/vhds/Centos-ARMTemplate2wsb.vhd,Standard,Data,30,10,0.33
